,,,,,,,,,CREATE,,,,,FileID GUID (RSP) ,CreateOptions (REQ),FileAttributes (REQ) ,FileAttributes (RSP) ,AllocationSize (RSP),FilePath 
,,,,,,,,,CLOSE,,,,,FileID GUID (REQ/RSP) ,CreationTime (RSP) ,LastWrite (RSP),LastChange (RSP),File Attributes (RSP) ,EnfOfFile (RSP)
,,,,,,,,,QUERY_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),,,
,,,,,,,,,SET_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),"NewFilePathSolo para la File Info Class numero 10 (renombrado), contiene el nuevo path anonimizado (salvo la ultima extension,mantiene la estructura de subdirectorios)",,
,,,,,,,,,READ,,,,,FileID GUID (REQ/RSP),Length (REQ),Offset (REQ) ,DataLength (RSP) ,DataRemaining (RSP) ,
,,,,,,,,,WRITE,,,,,FileID GUID (REQ/RSP) ,Length (REQ),Offset (REQ) ,DataLength (RSP) ,,
,,,,,,,,,FLUSH,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,LOCK,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,IOCTL,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,QUERY_DIRECTORY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,CHANGE_NOTIFY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
192.168.1.4,49245,192.168.1.5,445,40,188.058859,188.058859,188.275908,188.278500,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2097152,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059011,188.059011,188.278500,188.280456,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2162688,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059114,188.059114,188.280456,188.288180,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2228224,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059288,188.059288,188.288180,188.290814,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2293760,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055133,188.055133,188.290814,188.292620,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,131072,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059560,188.059560,188.292620,188.295068,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2359296,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059664,188.059664,188.295068,188.296916,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2424832,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059866,188.059866,188.296916,188.299634,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2555904,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059967,188.059967,188.299634,188.301413,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2621440,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060067,188.060067,188.301413,188.303071,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2686976,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060269,188.060269,188.303071,188.304793,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2818048,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060168,188.060168,188.304793,188.306340,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2752512,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060411,188.060411,188.306340,188.308042,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2883584,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060523,188.060523,188.308042,188.309671,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2949120,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060643,188.060643,188.309671,188.311052,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3014656,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060855,188.060855,188.311052,188.312497,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3145728,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060753,188.060753,188.312497,188.315308,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3080192,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055306,188.055306,188.315308,188.316769,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,196608,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055395,188.055395,188.316769,188.318376,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,262144,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055518,188.055518,188.318376,188.320201,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,327680,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.060956,188.060956,188.320201,188.322158,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3211264,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061092,188.061092,188.322158,188.323588,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3276800,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061538,188.061538,188.323588,188.325752,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3538944,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061436,188.061436,188.325752,188.328499,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3473408,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061675,188.061675,188.328499,188.330454,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3604480,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061797,188.061797,188.330454,188.331853,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3670016,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062006,188.062006,188.331853,188.334776,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3801088,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055619,188.055619,188.334776,188.335863,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,393216,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062287,188.062287,188.335863,188.338122,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3932160,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062487,188.062487,188.338122,188.339043,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4063232,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055785,188.055785,188.339043,188.341164,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,458752,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055864,188.055864,188.341164,188.341909,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,524288,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055999,188.055999,188.341909,188.344097,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,589824,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056242,188.056242,188.344097,188.347212,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,720896,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056381,188.056381,188.347212,188.348997,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,786432,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056482,188.056482,188.348997,188.351296,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,851968,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056620,188.056620,188.351296,188.352275,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,917504,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056721,188.056721,188.352275,188.353936,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,983040,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056881,188.056881,188.353936,188.355922,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1048576,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056982,188.056982,188.355922,188.357835,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1114112,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.056141,188.056141,188.357835,188.359672,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,655360,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.057714,188.057714,188.359672,188.361793,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1441792,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.057815,188.057815,188.361793,188.364501,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1507328,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061204,188.061204,188.364501,188.366531,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3342336,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061326,188.061326,188.366531,188.368530,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3407872,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.059765,188.059765,188.368530,188.369991,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2490368,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.061905,188.061905,188.369991,188.371492,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3735552,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062387,188.062387,188.376170,188.377030,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3997696,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062184,188.062184,188.377823,188.378912,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,3866624,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062588,188.062588,188.379403,188.381546,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4128768,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062790,188.062790,188.444140,188.445365,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4194304,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.062919,188.062919,188.469382,188.471902,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4259840,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063020,188.063020,188.471925,188.473883,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4325376,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063121,188.063121,188.475406,188.476581,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4390912,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063259,188.063259,188.477623,188.478569,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4456448,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063362,188.063362,188.479645,188.481900,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4521984,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063462,188.063462,188.481900,188.483693,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4587520,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063562,188.063562,188.483693,188.485740,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4653056,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063663,188.063663,188.485740,188.487822,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4718592,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063763,188.063763,188.487822,188.489987,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4784128,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063863,188.063863,188.489987,188.492575,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4849664,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.063964,188.063964,188.492575,188.494189,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4915200,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064065,188.064065,188.494189,188.496018,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,4980736,65536,0,
